# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['rangeSlope', 'sliderAvgRange', 'totalArrowMoves', 'totalResets', 'totalSliderMoves']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_rangeSlope', 'sum_lvl_0_to_16_sliderAvgRange', 'sum_lvl_0_to_16_totalArrowMoves', 'sum_lvl_0_to_16_totalResets', 'sum_lvl_0_to_16_totalSliderMoves']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1241
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# Normalized with scikitlearn Normalizer(copy=True, norm='l2')
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=4, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=5, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_16_rangeSlope,sum_lvl_0_to_16_sliderAvgRange,sum_lvl_0_to_16_totalArrowMoves,sum_lvl_0_to_16_totalResets,sum_lvl_0_to_16_totalSliderMoves,label
19110208050202664,-27.663837414771283,344.0564905303379,0.0,2.0,155.0,3
19110208054386076,-15.574592899254634,470.7514834534964,3.0,4.0,127.0,2
19110208055107296,-27.219835884700625,378.5539519792771,0.0,1.0,313.0,0
19110208055836710,-23.542238994036293,359.6426089722357,1.0,3.0,146.0,3
19110208063044520,-19.891098698054346,496.92654068208003,0.0,0.0,150.0,0
19110208080097350,-42.75552116419406,346.3425480903308,2.0,2.0,96.0,4
19110208111205410,-15.54633548828183,406.42076800760066,3.0,1.0,285.0,2
19110208123093864,-10.360487895288298,387.2477850125445,3.0,9.0,218.0,2
19110208144424780,-30.907155229816603,380.6306216146681,0.0,4.0,116.0,0
19110208145259216,-25.98100259488319,457.62499281607114,0.0,2.0,193.0,0
19110208164305132,-22.186910647707343,396.93428327705243,0.0,4.0,94.0,3
19110208171394772,-1.2568498924910827,325.5336249225851,1.0,3.0,113.0,3
19110208195419810,-36.73259933272396,470.72478271730364,3.0,0.0,137.0,0
19110208202671932,-11.495453921457122,385.4802357123943,0.0,0.0,240.0,2
19110208215834770,4.560495668989804,536.9216585870685,9.0,7.0,162.0,2
19110208253264836,-8.267675437378603,497.9339424019134,2.0,1.0,152.0,2
19110208314041616,-23.93814485592676,375.700741139215,0.0,2.0,84.0,4
19110208404213750,-5.374082716639208,348.1967077833065,0.0,1.0,36.0,1
19110208451491310,-27.56330727386668,412.50562736404305,0.0,0.0,74.0,4
19110208533844290,-16.758488684070365,384.5646281776278,44.0,0.0,84.0,3
19110209035699750,-2.1340514074917976,523.4460614936487,0.0,1.0,128.0,2
19110209082388776,-25.889032079247272,476.14950222276036,84.0,0.0,73.0,3
19110209101433500,-41.58915872508718,326.48177279334277,60.0,0.0,106.0,4
19110209122333596,-36.21205287455814,520.3120432892276,0.0,1.0,64.0,4
19110209134659480,18.03390058494048,665.136585175998,0.0,0.0,102.0,2
19110209294548796,-13.154945258834783,479.34855493964216,1.0,0.0,62.0,4
19110209355125390,-10.700770005328444,396.1290695467158,0.0,1.0,239.0,2
19110209482834064,-12.445285749483832,419.9186047160896,122.0,0.0,52.0,3
19110209483915184,-27.697343036451073,388.07465588131447,80.0,2.0,104.0,3
19110209562498690,-34.19703454651551,509.7757636983242,1.0,0.0,123.0,0
19110209581402550,-25.600256092906225,606.4217247555049,0.0,1.0,77.0,0
19110210051938410,-11.232657849833524,534.5482336152262,46.0,12.0,216.0,2
19110210055253460,-59.007408701296264,429.93687455445183,0.0,0.0,206.0,0
19110210061149460,-27.165261918844855,459.4678825846268,1.0,1.0,198.0,0
19110210065911864,-37.90769083606266,476.8156917786096,16.0,1.0,157.0,0
19110210090554770,-13.222817843943224,503.80591019341466,3.0,11.0,226.0,2
19110210104614844,-33.62543079662492,401.5090176528566,1.0,3.0,192.0,0
19110210111600744,6.931433784694054,355.6245345467849,10.0,0.0,136.0,3
19110210120720588,-5.990730094236383,418.60280567250794,1.0,2.0,130.0,2
19110210150144956,-3.4288955685559968,412.0110030650606,0.0,3.0,123.0,2
19110210170049670,-51.39050233531009,455.487229561538,5.0,10.0,190.0,0
19110210170294696,0.3026222852161433,349.81467690029785,1.0,1.0,88.0,1
19110210331440270,-5.312406855286201,390.65650534895434,0.0,4.0,96.0,3
19110210475527170,3.760112331952553,503.9965404050928,0.0,0.0,97.0,3
19110210563913276,-4.787114863807188,524.1658059690594,25.0,3.0,92.0,2
19110210572694276,-14.521736504982712,576.3511791668868,40.0,2.0,88.0,0
19110210573713064,-23.130108258675392,493.7855047419506,1.0,2.0,179.0,0
19110210574995956,-28.925715717697944,394.5721422255515,0.0,5.0,177.0,0
19110210581101024,-1.0228920923723166,483.4089375366818,0.0,0.0,57.0,3
19110210583388424,-10.79432016869947,481.669758128527,11.0,3.0,190.0,2
19110210594006976,-40.03860573172951,291.875418680059,0.0,3.0,192.0,0
19110211012042376,6.715292004690284,348.2267179176997,1.0,11.0,242.0,2
19110211013608190,-16.142852591790458,393.4206110471277,13.0,4.0,176.0,2
19110211020226120,-6.917566188028556,396.4177932315741,73.0,8.0,217.0,2
19110211023806450,-16.123497698589,544.7814574060507,0.0,1.0,249.0,0
19110211032611530,-13.01223127618848,318.37262754845375,1.0,8.0,258.0,2
19110211045587876,-28.52803967726566,480.40549364110535,1.0,11.0,172.0,2
19110211063172868,-38.022332053802145,361.52819769453504,18.0,7.0,213.0,0
19110211104746856,-7.930192757130621,430.80166346061947,0.0,2.0,116.0,2
19110211183568884,-36.01644877566608,393.63741335077947,0.0,1.0,146.0,4
19110211370413944,-29.899964459771653,485.65620821264264,0.0,4.0,62.0,0
19110212005044816,-17.32316252224885,372.68745201371996,0.0,0.0,158.0,3
19110212015959196,-20.679451045108927,384.77933343034323,1.0,0.0,115.0,4
19110212111242628,-48.642062674469955,367.619739772986,295.0,0.0,77.0,3
19110212134888350,-22.922766642330124,650.3508578945467,0.0,3.0,125.0,0
19110212140753156,-11.611662934625297,508.715944179128,24.0,2.0,65.0,3
19110212150362050,-0.5665764083069185,470.5277321124645,0.0,0.0,121.0,3
19110212191081316,-18.75691790777551,270.38419859753344,1.0,2.0,65.0,1
19110212193546428,-11.175144997736423,401.75868760391876,0.0,3.0,54.0,3
19110212202525650,-14.510830078064043,350.0279138575485,0.0,4.0,167.0,2
19110212210693908,-12.889557766196653,509.00485657228467,0.0,4.0,112.0,2
19110212212414684,-21.738844049895608,511.2191799773835,0.0,7.0,288.0,2
19110212212821508,-49.934677115535074,373.7106684512577,0.0,0.0,143.0,4
19110212220251650,0.3619344012040629,339.6532628267888,95.0,2.0,115.0,3
19110212223415188,0.9424617611596595,387.7540260882525,1.0,2.0,130.0,2
19110212231794800,-16.842959268105854,486.89609611866996,1.0,2.0,170.0,0
19110212262015390,-20.11434101979459,380.3551403872266,28.0,0.0,97.0,1
19110212291398548,-0.20742201736534682,398.7480604620521,2.0,4.0,287.0,2
19110212311121884,-38.78118631484474,364.5782582109558,0.0,0.0,117.0,4
19110212313452820,-11.998811872026986,402.2860349936552,1.0,4.0,234.0,2
19110212543846536,-26.311370275200588,468.02522056441336,191.0,5.0,87.0,3
19110212552196160,1.2671928568607744,410.9214057627571,35.0,2.0,95.0,3
19110213032970090,-19.981164572165806,404.7789102064827,0.0,3.0,103.0,3
19110213105893976,-15.34651499000368,454.5899684352516,0.0,0.0,80.0,4
19110213153311644,-52.26247493402113,481.29423284337605,1.0,2.0,155.0,0
19110213160339450,-35.90692896736499,422.9012355305838,1.0,2.0,160.0,0
19110213160779156,-17.745390858604235,484.4650526751051,28.0,2.0,249.0,2
