# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration
19110110310683970,1,0,2,0,1,417.711
19110110363657896,1,1,2,1,1,977.672
19110110414620784,1,0,2,0,1,472.675
19110110441543490,1,0,2,2,1,300.207
19110110451311830,1,0,1,0,1,1084.964
19110110452527892,1,0,1,1,1,811.112
19110110475640856,1,0,1,0,1,485.506
19110110480725292,1,1,1,0,1,727.9989999999999
19110110483317936,1,0,2,2,2,2176.801
19110110561098776,1,0,2,2,1,1897.848
19110110580761180,5,0,3,2,1,441.096
19110110592769064,1,0,1,0,1,2071.673
19110111022152332,1,0,2,0,1,1553.882
19110111023046790,1,0,2,1,1,575.112
19110111074507456,1,0,1,0,1,349.45
19110111084673776,1,0,1,1,1,732.457
19110111111959080,1,2,1,1,1,1373.35
19110111112413844,1,0,1,0,1,519.462
19110111190860230,1,0,1,1,1,688.076
19110111191814424,1,0,2,0,1,779.605
19110111191814424,2,0,2,2,1,1073.703
19110111210601356,1,0,2,2,1,1089.513
19110111253479930,2,2,2,2,1,728.836
19110111292278244,1,0,2,1,1,1040.569
19110111295462730,1,0,1,1,1,2080.6020000000003
19110111310006460,1,0,2,0,1,664.993
19110111341013190,1,0,1,0,1,890.677
19110111345280010,1,0,1,0,1,888.087
19110111372652916,1,0,2,2,1,1087.829
19110111372652916,2,0,1,0,1,806.398
19110111382632100,1,0,1,1,1,1441.4520000000002
19110111390651268,1,0,1,2,1,1094.511
19110111392059810,1,0,1,1,1,599.384
19110111475896830,1,0,3,1,1,619.621
19110111534250130,1,1,2,1,1,1112.479
19110111590022930,2,0,2,2,2,716.22
19110112004852940,1,0,1,2,1,409.5
19110112073172896,1,1,2,0,1,393.13599999999997
19110112093657744,1,0,2,1,1,949.5189999999999
19110112112461736,1,0,1,2,1,793.096
19110112122195500,1,0,1,0,1,494.49
19110112124490680,1,1,2,0,1,1730.249
19110112162889530,1,0,1,2,1,680.049
19110112244341336,1,0,2,1,1,743.335
19110112245837780,1,0,1,0,1,646.476
19110112295871030,1,0,1,2,1,428.324
19110112310329920,1,0,1,0,1,519.126
19110112350983704,1,0,2,0,1,496.55300000000005
