# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None
# LogTransform using np.long1p
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=7, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration,label
19110108500204250,1,0,2,2,2,1464.984,6
19110108515725676,1,0,2,0,1,1018.86,3
19110108534350852,1,0,1,0,1,316.111,0
19110108545361680,3,0,1,0,1,490.784,0
19110108562189704,1,0,1,0,1,361.733,0
19110108573047050,1,0,2,0,1,473.276,3
19110108581623536,2,0,1,0,1,504.475,0
19110109025472376,1,0,2,2,1,1128.787,6
19110109050736264,1,1,2,2,1,1010.686,6
19110109053089136,1,0,2,2,1,949.946,6
19110109072017520,1,1,3,2,3,2287.45,2
19110109082622696,1,0,3,0,1,1647.6629999999998,6
19110109092662732,1,0,2,0,1,647.931,3
19110109094737356,1,0,1,0,1,404.45599999999996,0
19110109104987390,1,0,2,0,1,561.151,3
19110109124655990,2,0,3,1,1,1126.062,6
19110109160181536,2,0,4,2,3,1457.726,2
19110109173916380,1,0,1,0,1,888.059,4
19110109174162164,1,0,2,0,1,514.7909999999999,3
19110109174178976,1,0,1,1,1,956.904,1
19110109174704296,1,0,1,1,1,580.101,4
19110109185926370,1,0,3,1,1,870.535,6
19110109190699830,1,0,1,1,1,846.685,1
19110109191243500,1,1,1,2,1,1193.728,1
19110109192692036,1,0,1,0,1,808.9780000000001,4
19110109224921776,1,0,2,0,1,2111.5660000000003,6
19110109251591090,1,0,1,0,1,487.319,0
19110109251596030,1,0,1,0,1,372.699,0
19110109251927030,1,0,2,0,1,495.059,3
19110109252314292,3,0,3,0,1,323.763,3
19110109254360748,1,0,2,1,1,546.821,3
19110109260173684,1,0,1,0,1,318.66200000000003,0
19110109263239010,1,0,1,1,1,561.191,4
19110109293509096,1,3,4,2,4,1965.8529999999998,2
19110109322995024,1,0,1,0,1,744.403,4
19110109345204940,1,0,1,1,1,751.8989999999999,4
19110109370370560,1,0,1,0,1,322.555,0
19110109371041420,1,0,2,4,1,755.2539999999999,6
19110109401431840,1,0,1,0,1,442.358,0
19110109424032730,1,0,1,0,1,1561.6570000000002,4
19110109451719044,1,0,1,1,1,509.53,4
19110109455878320,1,0,1,1,1,563.883,4
19110109462976736,1,0,2,0,1,484.72900000000004,3
19110109475465484,1,0,1,1,1,695.987,4
19110109485497470,1,1,3,2,1,1820.231,2
19110109492797536,1,0,1,0,1,1022.436,4
19110109513241772,1,0,1,1,1,853.071,1
19110109532704830,1,1,1,1,1,695.914,4
19110109543191304,1,0,2,1,1,1143.656,6
19110109545528510,1,1,2,1,1,1294.271,6
19110109545528510,2,0,2,1,1,941.904,6
19110109564116164,1,0,3,0,1,545.668,3
19110109592428000,1,0,2,2,1,408.42800000000005,6
19110110022849430,1,0,1,2,1,1247.017,1
19110110040133268,1,0,1,2,1,533.846,4
19110110041791092,1,1,2,1,1,1138.984,6
